,Categoria,Titulo,Texto,URL
0,Economía,Economía sale a buscar al menos $505.000 millones para cerrar el fondeo del mes electoral," Aunque todavía queden por delante las dos licitaciones de deuda de noviembre, antes del recambio de gobierno en el Ministerio de Economía ya se empieza a tener la sensación de tarea cumplida. Al arrancar el ministro de Economía, Sergio Massa, el mercado de pesos estaba a punto de incendiarse y un año después, la mayor parte de esa deuda que fue venciendo desde julio de 2022 hasta aquí ya está casi totalmente rolleada  con vencimientos que van entre 2024 y 2025.    Ahora con el resultado de la primera vuelta de las elecciones, que dejó a Massa como mejor perfilado para encarar la segunda vuelta, todas las previsiones que hacía el mercado respecto de una potencial dolarización se alejan y con ello se desinflan las opciones de cobertura en dólares.   En ese marco, este viernes el Tesoro saldrá a renovar unos $505.000 millones. Para atraer la demanda de los inversores, ofrecerá títulos indexados por inflación y por tipo de cambio oficial. Habrá una Lecer al 20 de febrero, que forma parte del programa de creadores de mercado. Luego, se pondrá a disposición un bono Dólar Linked (TV24) a abril de 2024, un Boncer (T6X4) que vence en mayo próximo; un bono Dual a junio (TDJ20) y un BONCER a octubre (T4X4). Por otro lado, ya con vencimiento en 2025, ofrece un Boncer a febrero (T2X5) y otro a marzo (TV25).  “Con una situación completamente diferente a la de la última subasta, el nuevo panorama que se abrió después de las elecciones incrementa los incentivos a mantener el tipo de cambio oficial fijo (o un crawling peg por debajo de la inflación), al menos, hasta diciembre”, señala la sociedad de bolsa PPI. La entidad dice que el contexto tras las elecciones “plantea un clima más constructivo para la deuda en pesos, reduciendo la posibilidad de un escenario de nominalidad descontrolada y aumento en la probabilidad de pago”.  Juan Pedro Mazza, estratega de Renta Fija de Cohen, explica que “con un oficialismo fortalecido, anticipamos una transición mucho más ordenada y los riesgos de eventos extremos se atenúan”. “Milei perdió inercia y necesita moderarse para ganar las elecciones. Es poco probable que vuelva a incentivar a los agentes a deshacerse de sus activos en pesos con el objetivo de disminuir la demanda por la moneda argentina”, señala Mazza. Si entre las PASO y la primera vuelta los bonos ajustables por dólar vivieron un furor, al igual que casi cualquier instrumento financiero que pudiera ofrecer algo de cobertura contra un escenario incierto, teniendo en cuenta que hasta ese momento Javier Milei aparecía como probable ganador, el resultado sorprendente de la elección que pone a Massa arriba y con mayores chances, cambió por completo la sensación que hay en el mercado y ahora aparecen más atractivos en el corto los bonos CER.  En noviembre, en tanto, hay dos licitaciones por algo más de $1,6 billones, y ya en diciembre hay un vencimiento casi testimonial. En la Secretaría de Finanzas se señala que para ese momento quedará todo ordenado para el funcionario que tenga que seguir al frente, que tendrá tiempo para definir si sigue con la dinámica actual o si hace algún canje nuevo. En el primer cuatrimestre de 2024 empiezan a caer nuevos vencimientos de importancia, pero se cree que en caso de un triunfo del oficialismo se va a poder reordenar las curvas de corto y mediano y largo plazo sin mayores problemas.",https://www.ambito.com/economia/sale-buscar-al-menos-505000-millones-cerrar-el-fondeo-del-mes-electoral-n5856965
1,Economía,Petróleo: cae el precio ante esfuerzos diplomáticos para enfriar el conflicto bélico," El precio del barril de petróleo bajó hoy en Nueva York luego de algunas gestiones diplomáticas que lograron apaciguar la tensión militar en Oriente Medio, lo que provocó una disminución de la demanda de crudo a nivel global.  El barril de la variedad WTI bajó 2,3% y se negoció en 83,50 dólares; mientras que el tipo Brent cayó 2,2% y cerró en 88,10 dólares, según cifras suministradas por el New York Mercantil Exchange (NYMEX).  El temor a que el conflicto entre Israel y el grupo palestino Hamás afecte a los suministros mundiales de crudo, lo que podría implicar a Irán y sus aliados en la región, viene sosteniendo los precios del petróleo en las últimas semanas.  Sin embargo, a mediodía del jueves, los temores se estaban disipando. ""La prima de seguridad que hemos estado pagando desde principios de mes parece estar desinflándose"", dijo John Kilduff, socio de Again Capital LLC.  Estados Unidos y otros países están instando a Israel a retrasar una invasión total de Gaza, tras casi tres semanas de bombardeos israelíes. Tras casi tres semanas de bombardeos israelíes sobre Gaza, la situación parece empantanada y condicionada por los rehenes, bajo el temor de que otros participantes se sumen al conflicto. En la baja del crudo influyeron también dos elementos. Por un lado, la preocupación sobre la economía mundial y la suba de los rendimientos de los Bonos del Tesoro estadounidense, que volvieron a acercarse al 5%, desalentando las inversiones de riesgo. Por otro lado, la suba de los inventarios de crudo en los Estados Unidos y el sobre abastecimiento en las refinerías muestran que, por ahora, la demanda está satisfecha. En este contexto, la economía estadounidense creció a un ritmo más rápido en el tercer trimestre, según mostraron este jueves datos oficiales, lo cual aumenta las expectativas de que la Reserva Federal (FED) suba las tasas de interés y las mantenga altas durante más tiempo. En tanto, los Estados Unidos informaron que las importaciones de crudo procedentes de las naciones que integran la Organización de Países Exportadores de Petróleo y sus aliados (OPEP+), habían disminuido durante el último año. Los contratos de futuros de gas natural para entrega en noviembre subieron 7,5%, y se negociaron en 3,24 dólares por millón de BTU.",https://www.ambito.com/economia/petroleo-cae-el-precio-esfuerzos-diplomaticos-enfriar-el-conflicto-belico-n5856978
2,Economía,"Los salarios subieron en agosto 7,6% y quedaron lejos de la inflación"," En agosto, el Índice de salarios se incrementó 7,6% mensual y 121,8% interanual. De esta forma quedó debajo de la  medición del IPC que marcó 12,4% en ese mismo periodo.   El indicador acumula una suba de 75,9% respecto de diciembre previo. El crecimiento mensual se debe a subas de 8,3% en el sector privado registrado, 6% en el sector público y 8,5% en el sector privado no registrado.   En términos interanuales, el Índice de salarios mostró una suba de 121,8%, como consecuencia de los incrementos de 121,1% en el sector privado registrado, 137,7% en el sector público y 95,1% en el sector privado no registrado.  En el acumulado anual, los salarios acumulan una suba de 75,9% respecto de diciembre del año previo, debido a los avances del 76,8% en el sector privado registrado, 80,4% en el sector público y 63,8% en el sector privado no registrado.  ""Hasta mediados de año, el promedio de los salarios empardó la dinámica inflacionaria. No obstante, la devaluación dispuesta por el BCRA después de las elecciones primarias tuvo como consecuencia una aceleración de la inflación que erosionó toda la ganancia acumulada hasta entonces"", explicó la consultora lcg. Hacia adelante, desde este espacio dijeron que esperan ""se den nuevas reaperturas de paritarias, aunque la erraticidad que viene mostrando la inflación podría jugarles en contra a los trabajadores"". Asimismo, ""un poder adquisitivo erosionado podría estimular una mayor oferta de mano de obra para sumar ingresos al hogar, lo que restaría capital de negociación a los trabajadores, vulnerando la recuperación del poder adquisitivo"".",https://www.ambito.com/economia/los-salarios-subieron-agosto-76-y-quedaron-lejos-la-inflacion-n5856855
3,Economía,"Precios de la carne al alza: cortes caros vs. cortes baratos, ¿cuáles son?"," Después del reciente aumento en el valor del ganado, los precios de la carne al consumidor se resintieron con un incremento que oscila entre un 15% y un 20%, el cual se podría atribuir a distintos factores, incluyendo la merma en la disponibilidad de ganado debido a la sequía y la incertidumbre previa a las elecciones, que desalentó a muchos productores a vender sus animales.   La realidad del sector agropecuario es “compleja en la actualidad”. En primer lugar, la agresiva sequía que afectó la producción. Y en segundo, “hemos tenido que acelerar la salida de hacienda antes de lo previsto”, señala a Ámbito, el presidente de la Cámara Argentina de Matarifes, (CAMYA), Leonardo Rafael, lo que ha generado distintos problemas.  “Por si fuera poco, nos enfrentamos a un mercado con una demanda muy baja, lo que dificulta alcanzar los volúmenes de venta habituales”, advierte Rafael, que, agrega: “Mirando hacia el futuro, la incertidumbre es abrumadora. Parece que nos espera un fin de año complicado con escasez de ganado en el mercado”.  Carne: cortes caros vs. cortes baratos En cuanto a los precios, el experto sostiene que, los cortes de carne experimentan variaciones estacionales en sus precios. En general, los cortes más caros durante todo el año son: el lomo, el peceto y algunas variedades de milanesa, como la nalga. Por otro lado, ciertos cortes, como la picada, la paleta y el roastbeef, tienden a ser más económicos en diferentes momentos del año. No obstante, asevera Rafael, los cortes más asequibles incluyen: la palomita y el osobuco, (aunque esto puede variar según la temporada).   Carne Inflación Supermercados Consumo     Mariano Fuchila Por su parte, Alberto Williams, presidente de la Asociación de Propietarios del Carnicero de CABA, explica que, los cortes más baratos “siempre son los del cuarto delantero”, es decir, el osobuco, la tapa de asado, el azotillo, el roastbeef, la paleta y el asado, “que tendría que ser uno de los más baratos”. En tanto, los más caros son siempre “el cuadril, la colita, el peceto, el bife con lomo y las milanesas”. De acuerdo a un relevamiento hecho por Ámbito en distintos supermercados de grandes superficies, los cortes más caros son:  Lomo - $6.669 kg. Milanesa de Receto - $6.389 kg. Colita de Cuadril - $6.299 kg. Bife de Chorizo - $5.600 kg. Ojo de Bife - $5.600 kg. Cuadril de novillero en churrasco - $5.799 kg. Bife de Chorizo - $5.599 kg. Milanesa de nalga - $5.149 kg. Churrasco cuadril - $4.799 kg. Carnaza feteada al vacío - $4.699 kg. Milanesa de Cuadrada - $4.699 kg. Vacío de Novillito - $4.599 kg. Milanesa de bola de lomo - $4.699 kg. Los más baratos son:  Tapa de nalga - $3.399 kg. Carne picada especial - $2.569 kg. Vacío envasado al vacío - $2.010 kg. Cuadril envasado al vacío - $1.899 kg. Matambre - $1.948 kg. Carne picada común - $1.559 kg. Asado envasado al vacío - $1.539 kg. Precios de la carne en alza: a qué se debe y qué esperar para fin de año “Hay tres factores centrales que presionan sobre el precio de la carne”, explica a este medio David Miazzo, economista jefe de la Fundación Agropecuaria para el Desarrollo de Argentina (FADA). Los tres factores clave que influyen en los precios de la carne son:  Inflación: el IPC mensual arriba del 12% afecta a todos los productos de la economía, incluyendo la carne. Incremento de los costos de alimentación: los costos de alimentación se han incrementado debido al dólar agro y al dólar exportador, lo que ha impactado en el precio de los insumos como el maíz y la soja. Escasez de hacienda: la sequía ha provocado una escasez de ganado, ya que muchos animales fueron sacrificados prematuramente debido a la falta de pasto, y se han visto afectadas las recrías y la producción de terneros. Esto no es solo una situación temporal y se espera que dure varios años. Estos factores, junto con las tensiones cambiarias e inflacionarias, presionan al alza los precios de la carne. Sin embargo, “el poder adquisitivo del consumidor también actúa como un límite a estos aumentos de precios”, advierte Miazzo, que concluye que, a pesar de la restricción del poder adquisitivo, “la escasez de oferta contribuye a que los precios sigan aumentando en el mercado de la carne”. Así las cosas, tanto Miazzo como Rafael, sostienen que se espera un fin de año con bastantes tensiones en los precios de la carne, lo cual se suma a la presión inflacionaria de los meses que restan para que finalice el 2023.",https://www.ambito.com/economia/precios-la-carne-al-alza-cortes-caros-vs-cortes-baratos-cuales-son-n5856669
4,Economía,Desde noviembre aumentan un 50% los peajes: cómo quedarán las tarifas," Las tarifas de los peajes en rutas nacionales y algunos de los accesos a la Ciudad de Buenos Aires aumentarán un 50% en noviembre, tras el trámite administrativo de la Consulta Ciudadana que se realizará el 31 de octubre.  Será el tercer aumento en el año lo que provocará un alza acumulada de 210%, cuando el nivel de inflación al momento ronda el 140%.  Los incrementos fueron de 50% en mayo, 40% en agosto y el 50% del próximo mes.   El Comité Nacional de Defensa del Usuario Vial (CONADUV) rechazó la nueva convocatoria a la “Consulta Ciudadana”, calificándola como un “simple formalismo, meramente decorativa, de carácter no vinculante y no presencial, por escrito, y con la sola finalidad de imponer y habilitar un nuevo incremento en las tarifas de peaje”.  El alza aplicará en la Red Vial Nacional concesionada, incluyendo Puente Rosario – Victoria y Accesos Norte, Oeste y Riccheri – Ezeiza – Cañuelas, y que encima ya está autorizado de antemano”, según expresó Ricardo Lasca, titular de CONADUV.  En un comunicado de prensa, Lasca sostuvo que el “problema no radica en modificar constantemente las tarifas, sino que debería analizarse la problemática de fondo que se viene arrastrando desde los años 90”. En ese sentido puntualizó “Contratos de concesión leoninos, ilegales y lesivos, tarifas calificadas de exacciones ilegítimas, perjudiciales al interés general, carentes de causa jurídica, con niveles desproporcionados con relación al servicio, contrarias a la utilidad nacional, y de beneficios abusivos para los concesionarios”. Según este comité, “es evidente que podría existir una maniobra tendiente a beneficiar en forma ilegítima a las empresas concesionarias, como Corredores Viales S. A., Caminos del Río Uruguay S. A., Autopistas del Sol S. A. y Grupo Concesionario del Oeste S. A., provocando serios perjuicios sociales y económicos a los usuarios viales y a toda la comunidad”. Por todas estas razones, entre otras, el comité de usuarios “rechaza el nuevo tarifazo de peaje, exhortando a las autoridades orrespondientes a no dar curso al incremento propuesto”, solicitando coraje, voluntad y decisión política al nuevo Gobierno que asuma el próximo 10 de diciembre para que se ponga fin al negocio que representan las concesiones viales y que los usuarios viales sufren injustamente desde los años 90″, concluyó. Aumento de peajes: cómo quedan las tarifas Las nuevas tarifas serían las siguientes  Motocicletas: $225 Vehículos de hasta 2 ejes y hasta 2,10 metros de altura: $375. En hora pico $450. Vehículos de hasta 2 ejes y más de 2,10 metros de altura o rueda doble: $750. En hora pico $900 Vehículos de 3 o 4 ejes y hasta 2,10 metros de altura: $750. En hora pico $900 Vehículos de 3 o 4 ejes y más de 2,10 metros de altura o rueda doble: $1.125. En hora pico $1350 Vehículos de 5 o 6 ejes: $1500. En hora pico $1800 Vehículos de más de 6 ejes: $1.875. En hora pico $2250  Horario No Pico:  De lunes a viernes de: 7 a 11 - 16 a 20 Sábados, domingos y feriados: de 11 a 15 Hacia la provincia de Buenos Aires: de 11 a 15 Hacia la Ciudad de Buenos Aires: de 17 a 21. Además, los nuevos cuadros tarifarios se aplicarán en todos los tramos de los corredores viales bajo jurisdicción nacional que poseen peajes:  I (rutas 34 y 9) II (188) III (12 y 16) IV (8, 36 y A-005) V (19 y 34) VI (9, 193, 34, A-012 y A-008) VII (3, 205 y 226) VIII (7) IX (autopista Ezeiza Cañuelas, además de Riccheri) X (5) 18 (R12, 14, 135, A-015, 117 y 174). ",https://www.ambito.com/economia/desde-noviembre-aumentan-un-50-los-peajes-como-quedaran-las-tarifas-n5856658
5,Economía,Amplían la bonificación de tasa en créditos para economía del conocimiento," La Subsecretaría de Financiamiento y Regulación de la Economía del Conocimiento dispuso la ampliación de la bonificación de tasas otorgadas por las entidades financieras por intermedio del Fondo Fiduciario para la Promoción de la Economía del Conocimiento (Fonpec), a través de la disposición 97/2023 publicada hoy en el Boletín Oficial. 
Con esta modificación, la bonificación de tasa pasará de ser de 25 a 50 puntos porcentuales anuales. 
En tanto, se estipula que la tasa de interés nominal anual en los créditos, contabilizado dicho subsidio, no podrá ser inferior a 50%, en lugar del 30% previo, un porcentaje que, de todos modos, representa menos de la mitad de la inflación anual actual 
Ese límite se tiene en cuenta al realizar el cálculo mensual de los puntos de bonificación aplicables en cada caso. 
Si la tasa nominal anual cobrada por el banco, sin contabilizar la bonificación, es igual o menor al 50%, el beneficiario abonará esa tasa y no se aplicará el subsidio.
Los créditos ofrecidos por el BICE y canalizados a través de los bancos buscan financiar proyectos productivos de firmas de la economía del conocimiento, incluyendo la compra de bienes de capital nuevos, construcción, insumos, materia prima y pago de sueldos.
Además, apuntan a promover el desarrollo de emprendimientos ambientalmente sustentables, y fomentar la inserción comercial internacional de las firmas.
El plazo de los créditos es de hasta 24 meses, con hasta seis meses de gracia y un monto máximo de $ 50 millones.
La disposición de hoy también amplia el monto máximo del Fonpec que se utilizará para financiar los créditos de $ 1.000 millones a $ 1.400 millones.
El Fonpec, fue creado como parte de la Ley 27.506 del Régimen de Promoción de la Economía del Conocimiento; y financia, en especial, las micro, pequeñas y medianas empresas y los nuevos emprendimientos. 
Está financiado con recursos del Tesoro Nacional y por los aportes que realizan las empresas inscriptas como beneficiarias del régimen, tal como estipula la ley, lo cual se calcula en proporción a su tamaño: las micro empresas aportaran el 1% del total de los beneficios percibidos en descuento a las ganancias y reducción en las contribuciones patronales; las pequeñas empresas, el 2,5%; y las grandes empresas, el 3,5%.
A estas fuentes se suman ingresos por legados o donaciones y fondos provistos por organismos nacionales, provinciales, de la ciudad de Buenos Aires, internacionales u organizaciones no gubernamentales.
La decisión de ampliar los puntos porcentuales anuales de la bonificación de tasa fue aprobada por el Comité Directivo del Fonpec en septiembre último, que posee representantes designados por los ministerios de Economía y de Ciencia y Tecnología; la Agencia Nacional de Promoción de la Investigación y el Instituto Nacional de Tecnología Industrial (INTI).",https://www.ambito.com/economia/amplian-la-bonificacion-tasa-creditos-del-conocimiento-n5856482
6,Economía,Créditos con tasa del 50% para MiPyMEs: qué sector se beneficia con esta medida del Gobierno," A través de la Disposición 97/2023 - publicada en el Boletín Oficial- la Subsecretaría de Financiamiento y Regulación de la Economía del Conocimiento modificó los términos y condiciones de una línea de crédito con bonificación de tasa de interés para proyectos productivos de las Micro, Pequeñas y Medianas Empresas (MiPyMEs) vinculados a ese sector.    En el texto se establece que la bonificación de tasa será de CINCUENTA (50) puntos porcentuales anuales (p.p.a) sobre la tasa de interés aplicable a los préstamos durante toda la vida del préstamo.   La tasa de interés nominal anual a pagar por los beneficiarios en los créditos en pesos argentinos, contabilizando el subsidio, no podrá ser inferior al CINCUENTA POR CIENTO (50 %), límite que se tendrá en cuenta a la hora de realizar el cálculo (mensual) de los puntos de bonificación aplicables en cada caso.  Si la tasa nominal anual cobrada por el banco, sin contabilizar el subsidio fuera igual o menor al CINCUENTA POR CIENTO (50 %), el beneficiario abonará dicha tasa y no será aplicable la bonificación.  También se establece que el gasto que demande el cumplimiento de la medida será atendido con fondos pertenecientes al Fondo Fiduciario para la Promoción de la Economía del Conocimiento (FONPEC), el cual destinará el monto máximo de PESOS MIL CUATROCIENTOS MILLONES ($ 1.400.000.000). Economía del Conocimiento: el detalle de la medida En resumen, la modificación consiste en aumentar la bonificación de tasa de interés de 30 a 50 puntos porcentuales anuales. Esto significa que los beneficiarios de los créditos podrán acceder a una tasa de interés nominal anual más baja, lo que les permitirá reducir sus costos financieros y mejorar su rentabilidad. El aumento de la bonificación se justifica por la necesidad de brindar un mayor incentivo a las MiPyMEs para que inviertan en proyectos productivos vinculados con la economía del conocimiento. Esta actividad es clave para el desarrollo económico y social del país, ya que genera empleo de calidad, innovación y exportaciones. La medida entrará en vigencia a partir de su publicación en el Boletín Oficial, es decir, este jueves 26 de octubre.  ",https://www.ambito.com/economia/creditos-tasa-del-50-mipymes-que-sector-beneficia-esta-medida-del-gobierno-n5856386
7,Economía,"La economía de EEUU se aceleró al 4,9% en el tercer trimestre, mayor al nivel esperado"," El producto interno bruto (PIB) de Estados Unidos (EEUU) se ha disparado y creció a un ritmo del 4,9% en el tercer trimestre del año, según la estimación publicada este jueves por el Departamento de Comercio del país, en lo que supone una aceleración de la economía estadounidense, tras el crecimiento del 2,1%, registrado en el segundo trimestre. Por su parte, el consenso esperaba una desaceleración hasta el 4,2%.   La economía estadounidense creció al ritmo más rápido en casi dos años el trimestre pasado, impulsada por un aumento en el gasto de los consumidores.   El Producto Interno Bruto se aceleró a una tasa anualizada de 4,9%, más del doble del ritmo del segundo trimestre, según la estimación preliminar del gobierno el jueves. El principal motor de crecimiento de la economía, el gasto personal, aumentó un 4%, también la mayor cantidad desde 2021.  Mientras tanto, una medida de la inflación núcleo que se sigue de cerca se enfrió al ritmo más lento desde 2020.   Economía de EEUU: cómo impacta ese dato en la decisión de la Fed La economía más grande del mundo se ha mantenido firme frente a los altos precios y un rápido aumento en los costos de endeudamiento, eclipsando repetidamente las expectativas de los pronosticadores y moderando los temores de recesión. El principal impulsor de esa resiliencia es la fortaleza duradera del mercado laboral, que sigue impulsando la demanda de los hogares. De cara al futuro, la durabilidad del impulso económico en el cuarto trimestre ayudará a los funcionarios de la Reserva Federal a determinar si vuelven a subir los tipos de interés. Muchos economistas esperan crecimiento para reducir la velocidad en los últimos meses del año, a medida que los costos de endeudamiento limitan las compras de artículos costosos y se reanudan los pagos de préstamos estudiantiles. Pero si la demanda se mantiene sólida, corre el riesgo de mantener la inflación por encima del objetivo de 2% del banco central y puede justificar una política monetaria más restrictiva.  Reserva Federal FED       En la reunión de la próxima semana, se espera que los responsables de la política monetaria dejen sin cambios la tasa de interés de referencia, y algunos señalan el rápido aumento de los costos de endeudamiento del gobierno como una razón para la cautela. El rendimiento de los bonos del Tesoro a 10 años superó el 5% a principios de esta semana por primera vez en 16 años. ""Dadas las incertidumbres y los riesgos, y lo lejos que hemos llegado, el comité está procediendo con cuidado"", dijo la semana pasada el presidente de la Fed, Jerome Powell, refiriéndose al Comité Federal de Mercado Abierto del banco central, que fija las tasas. Hasta ahora, los datos sugieren que la inflación sigue disipándose. El índice de precios de los gastos de consumo personal subyacente, que excluye los costos de los alimentos y la energía, bajó a un ritmo del 2,4% en el tercer trimestre. Incluyendo las categorías más volátiles, el índice general de precios PCE aumentó un 2,9%.  PBI: ¿cuál es la expectativa para el 4T? Según sostiene un informe elaborado por Balanz, para los datos de hoy se esperaba una aceleración marcada en el crecimiento, pero se proyecta que sea algo ""temporario"" ya que la economía empieza a perder momento en el cuarto trimestre.  ""El índice de precios implícitos del PBI se aceleró a 3.5% desde 1.7% en el 2T, ubicándose por encima del 2.7% esperado, mientras que el índice de precios núcleo lo hizo hacia 2.4% desde 3.7%, ubicándose por debajo del 2.5% esperado.   eeuu       ¿Y para las tasas? Según sostiene Federico Izaguirre, economista consultado por Ámbito, la economía de EEUU ""volvió a mostrar una fortaleza que poco tiene que ver con los pronósticos de una desaceleración que venían anunciando muchos analistas. Este último trimestre fue el  de crecimiento más fuerte en dos años. El dato del PBI del trimestre fue de un crecimiento anualizado de 4.9%. Las estimaciones estaban alrededor del 4.5%.  En este sentido, sostiene que ""los mercados están mostrando un comportamiento bajista con datos económicos fuertes ya que esto le da a la FED margen para subir la tasa de interés de referencia"".  La reacción del mercado de tasas a los datos de PBI fue contraria a la esperada con la tasa del tesoro a 10 años comprimiendo cerca de 5pbs a 4.92%, mientras que los futuros del S&P 500 y el Nasdaq recortaron levemente las pérdidas y operan con retornos de -0.4% y -0.6%, respectivamente. La compresión en las tasas parecería estar más bien ligada a los datos de solicitudes iniciales de desempleo que mostraron una leve aceleración a 210.000 desde 200.000 (revisados) en la semana anterior"". ",https://www.ambito.com/economia/la-eeuu-crecio-al-49-el-tercer-trimestre-mayor-al-esperado-n5856404
8,Economía,Mercado Pago ahora paga más por dejar la plata: cuánto da por $100.000," La suba de tasas  que impulsó el Banco Central a mediado de mes comenzó a impactar lentamente en las rentas que pagan las billeteras virtuales  en sus cuentas remuneradas. De hecho, Mercado Pago fue una de las primeras en modificar su tasa para los usuarios, saltando al 100% anual.   Cabe recordar que el pasado 12 de octubre la entidad monetaria aumentó 15 puntos porcentuales al interés de referencia, para llegar a una tasa nominal anual (TNA) de un plazo fijo tradicional en el 133%, para aquellas colocaciones realizadas por un mínimo de 30 días por personas físicas con montos inferiores a los $30 millones.  Ahora bien, desde ese momento hasta hace unas horas la renta de las fintech se ubicaba prácticamente sin cambios en torno al 95%. La noticia es que recién el miércoles se produjo una modificación notoria debido a que escaló hasta el 100% de TNA.  Este ""retraso"" en el alza de la remuneración que ofrece una billetera digital por dejar el dinero en cuenta se debe a que la lógica financiera que maneja es diferente a la de un plazo fijo, ya que Mercado Libre, Personal Pay y las otras alternativas del mercado colocan el dinero en un fondo común de inversión (FCI), administrado por una firma de asset management, regulada por la Comisión Nacional de Valores (CNV).  Por lo tanto, este instrumento no brinda una tasa preestablecida (o fija) a los usuarios como sí lo hace un depósito bancario, sino que el interés que paga va oscilando de manera diaria en base al rendimiento obtenido por las inversiones que realiza el fondo común en las distintas herramientas financieras, como cauciones y plazos fijos de bancos. De esta manera, puede bajar o subir de forma constante. Cuánto rinden hoy $100.000 en Mercado Pago Si el ahorrista decide dejar sus pesos ""sin tocar"" durante 30 días, como si fuera un plazo fijo, recibirá un interés de 100% de TNA, que representa una ganancia de 8,22% mensual. Entonces, si una persona pone a invertir en su billetera una cifra de, por ejemplo, $100.000, su capital crecerá luego de un mes hasta los $108.219. Así, con dicho monto, en un período de 30 días se puede ganar ahora un extra de $8.219.  En cambio, si el ahorrista está seguro que no necesitará el dinero durante todo ese tiempo, puede optar por constituir un plazo fijo tradicional para ganar más. La desventaja es que deberá dejar encajados sus pesos durante un tiempo mínimo de un mes. En ese caso, el plazo fijo tradicional ofrece una tasa predeterminada de 133% anual (TNA), por lo que si se colocan los $100.000 del ejemplo a 30 días se obtendrá un total de $110.932 (un extra de $10.932), que equivale a un interés mensual de 10,93%.",https://www.ambito.com/economia/mercado-pago-ahora-paga-mas-dejar-la-plata-cuanto-da-100000-n5856351
9,Economía,¿Sube el precio del pan?: actualizan valor de la bolsa de harina," A través de la Resolución 1860/2023 de la Secretaría de Comercio, publicada este jueves en e l Boletín Oficial, se actualizaron los precios de referencia para el trigo y sus productos derivados. El texto establece que los nuevos precios entrarán en vigencia a partir del día de su publicación en el BO, es decir, este 26 de octubre.   El texto oficial establece que el Estado Nacional tiene el deber de garantizar los derechos de la población, “en particular el acceso a los bienes básicos, como la harina de trigo”. Asimismo, que la implementación del Fondo Estabilizador del Trigo Argentino busca garantizar un valor de referencia para el trigo en el mercado interno, que permita conservar una estabilidad en la participación de la bolsa de harina como componente del costo de los productos que de esta se derivan.  La Resolución sostiene que, el Estado Nacional viene adoptando una serie de políticas públicas que buscan estabilizar los precios de los productos a favor del consumidor, como el Programa “Precios Justos”. Para mejorar el impacto de estas políticas, por lo que resulta necesario actualizar los precios de referencia del trigo y sus productos derivados.   En consecuencia, la medida actualiza los precios de referencia para el trigo y sus productos derivados, con un incremento acumulado del 77,5 % para los primeros 10 meses de 2023. “Estos guarismos se encuentran muy por debajo de los que refleja el INDEC para el precio del pan francés en GBA como del IPC General”.   Los principales puntos de la resolución: En el anexo de la medida se indica que los precios son sin impuestos y a la salida del molino, es decir, antes de incluir los costos de entrega. En él, se establecen los precios de la harina 000 común, 000 calidad 24/26 gluten y 000 calidad 26/28 gluten. Los precios son por bolsa de 25 kilos, y para pasar a valor granel se debe multiplicar el precio por 39,25. Asimismo, al agregar los costos logísticos por región: son del 3,50% para la provincia de Buenos Aires y la Ciudad Autónoma de Buenos Aires, del 5,50% para el centro, Cuyo y el Litoral, del 7% para el NEA y el NOA, y del 10,5% para la Patagonia. El precio de referencia de la tonelada de trigo es de $59.585,07. La medida indica que los precios del anexo serán actualizados mensualmente por la autoridad de aplicación. La actualización se basará en los siguientes parámetros:  Un 40% de la variación mensual del valor FAS teórico promedio en pesos publicado por la Secretaría de Agricultura, Ganadería y Pesca del Ministerio de Economía. 30% de la variación mensual del Índice de Precio Mayorista (IPIM) del último mes disponible en el sitio web del Instituto Nacional de Estadísticas y Censos (INDEC). 30% de la variación mensual del Índice de Salarios publicado por el Instituto Nacional de Estadísticas y Censos (INDEC). En caso de que la fórmula anterior arroje un valor inferior al 1%, el mínimo de ajuste mensual será del 1%. En resumen, el texto establece los precios de los principales productos de molinería en Argentina, así como los costos logísticos por región y la fórmula de actualización mensual de los precios.",https://www.ambito.com/economia/sube-el-precio-del-pan-actualizan-valor-la-bolsa-harina-n5856344
